No;Familia1;Género1;Código;FAMILIA;GENERO;ESPECIE;Culmen-Expuesto;Culmen-Total;Largo-Narina;Alto-Narina;Comisura;Longitud-Tarzo;Cuerda-Alar;Largo-Rectrices;Longitud-total;Dieta
31;PSITT;Pyrrr;Pyrrmp;PSITTACIDAE ;Pyrrura;Pyrrura mellanura pacifica;13,5;17,4;10,8;13,4;13,1;16,5;120,7;105,9;201,2;F
32;RAMPH;Ptrgl;Ptrgls;RAMPHASTIDAE ;Pteroglossus;Pteroglossus sanguineus;114,2;114,2;92;33,5;31,1;35,2;156,5;165,2;298;F
33;SEMNO;Smnrn;Smnrnr;SEMNORNITHIDAE ;Semnornis  ;Semnornis ramphastinus ;21,3;23,2;16,5;14,2;18,6;30,1;104;86;193,3;F
34;STRIG;Plstr;Plstrp;STRIGIDAE;Pulsatrix ;Pulsatrix perspicillata ;26,4;32,1;11,9;13,3;20,2;34,9;195;63,6;215,8;I
35;STRIG;Glcdm;Glcdmn;STRIGIDAE ;Glaucidium ;Glaucidium nubicola ;10,1;13,5;9,1;10,4;12,5;20,5;91,4;52,4;114,3;I
36;THAMN;Myrmc;Myrmce;THAMNOPHILIDAE ;Myrmeciza  ;Myrmeciza exsul ;19,8;20,9;11,6;5,1;11,2;29,5;62,1;49,2;99,4;I
37;THAMN;Myrmc;Myrmci;THAMNOPHILIDAE ;Myrmeciza  ;Myrmeciza immaculata ;20,6;23,2;13;5,8;11,1;35,5;78,3;83,4;155,2;I
38;THAMN;Myrmt;Myrmts;THAMNOPHILIDAE ;Myrmotherula  ;Myrmotherula schisticolor ;12,6;15;8,9;3,5;6,4;16;54,6;34,8;68,3;I
39;THAMN;Hlphy;Hylphn;THAMNOPHILIDAE ;Hilophylax ;Hylophylax naevioides ;14,4;16,5;10,8;2,8;8,1;22,4;62,9;31,9;86,3;I
40;THAMN;Thmnp;Thmnpp;THAMNOPHILIDAE ;Thamnophilus  ;Thamnophilus punctatus ;20,3;22,8;13,8;6;10;27,8;67,8;63,9;105,8;I
